time,ax,ay,az
87210,1.5832544956992118,-4.415850191656462,-0.0
87220,1.6141157054332957,-4.402869161654247,-0.0
87230,1.64486156808216,-4.38967810233023,-0.0
87240,1.6754907493091185,-4.376278144692414,-0.0
87250,1.706001926951261,-4.362670426497684,-0.0
87260,1.7363937910195404,-4.348856092112622,-0.0
87270,1.7666650436972784,-4.334836292375207,-0.0
87280,1.7968143993370835,-4.320612184457352,-0.0
87290,1.8268405844562356,-4.306184931728367,-0.0
87300,1.8567423377305314,-4.29155570361929,-0.0
87310,1.886518409986622,-4.27672567548814,-0.0
87320,1.9161675641928722,-4.261696028486112,-0.0
87330,1.9456885754487543,-4.246467949424715,-0.0
87340,1.975080230972791,-4.2310426306438496,-0.0
87350,2.0043413300891,-4.215421269880897,-0.0
87360,2.0334706842125088,-4.199605070140735,-0.0
87370,2.062467116832332,-4.183595239566819,-0.0
87380,2.0913294634947626,-4.167392991313224,-0.0
87390,2.120056571783944,-4.1509995434177105,-0.0
87400,2.1486473013017444,-4.134416118675871,-0.0
87410,2.177100523646224,-4.117643944516258,-0.0
87420,2.2054151223888487,-4.100684252876613,-0.0
87430,2.233589993050459,-4.083538280081134,-0.0
87440,2.26162404307602,-4.066207266718841,-0.0
87450,2.2895161918081657,-4.048692457522997,-0.0
87460,2.3172653704595776,-4.030995101251654,-0.0
87470,2.3448705220841983,-4.013116450569276,-0.0
87480,2.372330601547323,-3.9950577619294947,-0.0
87490,2.399644575494571,-3.976820295458958,-0.0
87500,2.4268114223197776,-3.9584053148423286,-0.0
87510,2.453830132131815,-3.9398140872084046,-0.0
87520,2.480699706720366,-3.9210478830173834,-0.0
87530,2.5074191595206923,-3.9021079759492694,-0.0
87540,2.53398751557737,-3.882995642793433,-0.0
87550,2.560403811507084,-3.863712163339343,-0.0
87560,2.5866670954604354,-3.844258820268437,-0.0
87570,2.6127764270828338,-3.8246368990471957,-0.0
87580,2.638730877474459,-3.8048476878213524,-0.0
87590,2.6645295291493447,-3.7848924773113137,-0.0
87600,2.69017147599358,-3.7647725607087423,-0.0
87610,2.715655823222668,-3.74448923357434,-0.0
87620,2.7409816873380577,-3.7240437937368123,-0.0
87630,2.766148196082854,-3.7034375411930216,-0.0
87640,2.7911544883967627,-3.682671778009357,-0.0
87650,2.8159997143702515,-3.6617478082242743,-0.0
87660,2.8406830351979773,-3.6406669377520604,-0.0
87670,2.865203623131478,-3.6194304742877814,-0.0
87680,2.88956066143118,-3.598039727213455,-0.0
87690,2.9137533443176964,-3.5764960075054075,-0.0
87700,2.9377808769224902,-3.554800627642856,-0.0
87710,2.961642475237869,-3.5329549015176824,-0.0
87720,2.9853373660663687,-3.510960144345418,-0.0
87730,3.0088647869695486,-3.4888176725774565,-0.0
87740,3.032223986216171,-3.4665288038144397,-0.0
87750,3.055414222729845,-3.4440948567208785,-0.0
87760,3.0784347660361195,-3.4215171509409723,-0.0
87770,3.101284896209036,-3.398797007015627,-0.0
87780,3.123963903817207,-3.3759357463006916,-0.0
87790,3.1464710898693755,-3.3529346908863897,-0.0
87800,3.168805765759527,-3.3297951635179466,-0.0
87810,3.1909672532115523,-3.306518487517439,-0.0
87820,3.2129548842234605,-3.28310598670681,-0.0
87830,3.2347680010112163,-3.2595589853321147,-0.0
87840,3.256405955952146,-3.2358788079889305,-0.0
87850,3.277868111527992,-3.2120667795489726,-0.0
87860,3.2991538402676093,-3.188124225087898,-0.0
87870,3.320262524689303,-3.1640524698142793,-0.0
87880,3.341193557242863,-3.1398528389997686,-0.0
87890,3.361946340251304,-3.115526657910457,-0.0
87900,3.3825202858522765,-3.0910752517393596,-0.0
87910,3.4029148159392557,-3.066499945540122,-0.0
87920,3.4231293621024483,-3.0418020641618586,-0.0
87930,3.443163365569475,-3.016982932185163,-0.0
87940,3.4630162771458237,-2.9920438738592687,-0.0
87950,3.482687557155113,-2.96698621304037,-0.0
87960,3.502176675379152,-2.941811273131077,-0.0
87970,3.5214831109978477,-2.916520377021022,-0.0
87980,3.5406063525289486,-2.891114847028603,-0.0
